Date,CementType,Price Before VAT,Quantity In Quintal,Quantity In Ton,Transportation,Total Price
10/20/2020,PPC-Bag,269.57,400,40,150,107828
10/20/2020,PPC-Bag,269.57,400,40,150,107828
10/20/2020,PPC-Bag,269.57,400,40,150,107828
10/20/2020,PPC-Bag,269.57,400,40,150,107828
10/20/2020,PPC-Bag,269.57,400,40,150,107828
10/20/2020,PPC-Bag,269.57,400,40,150,107828
10/20/2020,PPC-Bag,269.57,400,40,150,107828
10/20/2020,PPC-Bag,269.57,400,40,150,107828
10/21/2020,OPC-Bulk,291.3,1133.33,113.333,35,330139.03
10/21/2020,OPC-Bulk,291.3,1133.33,113.333,35,330139.03
10/21/2020,OPC-Bulk,291.3,1133.33,113.333,35,330139.03
10/21/2020,PPC-Bag,252.17,400,40,0,100868
10/22/2020,OPC-Bulk,286.96,4000,400,40,1147840
10/23/2020,PPC-Bag,252.17,400,40,35,100868
10/23/2020,OPC-Bulk,286.96,800,80,40,229568
10/23/2020,OPC-Bulk,286.96,9070.2,907.02,35,2602784.59
10/23/2020,OPC-Bulk,286.96,231.8,23.18,35,66517.33
10/23/2020,OPC-Bulk,286.96,400,40,35,114784
10/23/2020,OPC-Bulk,286.96,400,40,40,114784
10/24/2020,OPC-Bulk,286.96,800,80,35,229568
10/26/2020,PPC-Bag,252.17,400,40,35,100868
10/27/2020,OPC-Bulk,291.3,1040,104,35,302952
10/27/2020,OPC-Bulk,291.3,1040,104,35,302952
10/27/2020,OPC-Bulk,291.3,1040,104,35,302952
10/27/2020,OPC-Bulk,291.3,1040,104,35,302952
10/27/2020,OPC-Bulk,291.3,1040,104,35,302952
10/27/2020,PPC-Bag,222.61,400,40,35,89044
10/27/2020,OPC-Bag,304.35,380,38,35,115653
10/27/2020,PPC-Bag,252.17,400,40,120,100868
10/27/2020,PPC-Bag,252.17,400,40,120,100868
10/27/2020,PPC-Bag,269.57,400,40,150,107828
10/28/2020,OPC-Bulk,286.96,1200,120,40,344352
10/28/2020,OPC-Bulk,286.96,400,40,40,114784
10/28/2020,PPC-Bag,252.17,400,40,120,100868
10/28/2020,PPC-Bag,252.17,400,40,120,100868
10/30/2020,OPC-Bulk,286.96,8311.3,831.13,35,2385010.65
10/30/2020,OPC-Bulk,286.96,1200,120,35,344352
10/30/2020,PPC-Bag,222.61,400,40,35,89044
10/30/2020,PPC-Bag,222.61,400,40,35,89044
10/31/2020,PPC-Bag,252.17,400,40,120,100868
10/31/2020,PPC-Bag,252.17,400,40,120,100868
11/2/2020,PPC-Bag,269.57,600,60,150,161742
11/2/2020,PPC-Bag,269.57,400,40,150,107828
11/2/2020,PPC-Bag,269.57,400,40,150,107828
11/3/2020,OPC-Bulk,286.96,145,14.5,35,41609.2
11/3/2020,PPC-Bag,269.57,400,40,150,107828
11/3/2020,PPC-Bag,252.17,400,40,35,100868
11/5/2020,OPC-Bulk,286.96,400,40,40,114784
11/6/2020,OPC-Bulk,291.3,1200,120,35,349560
11/6/2020,OPC-Bulk,291.3,1200,120,35,349560
11/6/2020,OPC-Bulk,291.3,1200,120,35,349560
11/7/2020,PPC-Bag,252.17,1200,120,120,302604
11/7/2020,PPC-Bag,252.17,400,40,35,100868
11/9/2020,OPC-Bulk,286.96,5223.2,522.32,35,1498849.47
11/9/2020,OPC-Bulk,286.96,1809,180.9,35,519110.64
11/10/2020,PPC-Bag,269.57,400,40,150,107828
11/10/2020,PPC-Bag,269.57,400,40,150,107828
11/11/2020,PPC-Bag,252.17,400,40,35,100868
11/12/2020,PPC-Bag,252.17,400,40,40,100868
11/16/2020,PPC-Bag,252.17,400,40,110,100868
11/17/2020,OPC-Bulk,249.53,4000,400,40,998120
11/17/2020,PPC-Bag,252.17,400,40,35,100868
11/17/2020,PPC-Bag,252.17,400,40,35,100868
11/17/2020,PPC-Bag,252.17,400,40,35,100868
11/17/2020,PPC-Bag,252.17,400,40,35,100868
11/17/2020,OPC-Bag,304.35,400,40,35,121740
