Date,CementType,Price Before VAT,Quantity In Quintal,Quantity In Ton,Transportation,Total Price
1/15/2018,PPC-Bag,173.04,400,40,25,69216
1/15/2018,PPC-Bag,173.04,400,40,25,69216
1/15/2018,OPC-Bag,230.43,400,40,45,92172
1/15/2018,OPC-Bulk,221.74,800,80,30,177392
1/15/2018,OPC-Bag,230.43,400,40,23,92172
1/16/2018,OPC-Bag,230.43,400,40,25,92172
1/16/2018,OPC-Bag,230.43,400,40,23,92172
1/16/2018,OPC-Bulk,221.74,400,40,28,88696
1/16/2018,OPC-Bag,230.43,800,80,95,184344
1/17/2018,PPC-Bag,173.04,200,20,25,34608
1/17/2018,PPC-Bag,173.04,10000,1000,25,1730400
1/18/2018,PPC-Bag,173.04,200,20,25,34608
1/18/2018,PPC-Bag,173.04,400,40,25,69216
1/18/2018,OPC-Bag,230.43,200,20,25,46086
1/20/2018,PPC-Bag,173.04,400,40,25,69216
1/22/2018,PPC-Bag,173.04,400,40,23,69216
1/23/2018,PPC-Bag,173.04,400,40,35,69216
1/23/2018,PPC-Bag,173.04,200,20,25,34608
1/23/2018,OPC-Bag,230.43,400,40,23,92172
1/23/2018,OPC-Bulk,221.74,800,80,25,177392
1/24/2018,PPC-Bag,173.04,2000,200,23,346080
1/25/2018,OPC-Bag,230.43,1200,120,70,276516
1/25/2018,OPC-Bag,233.04,1200,120,25,279648
1/25/2018,PPC-Bag,173.04,400,40,25,69216
1/25/2018,PPC-Bag,173.04,400,40,23,69216
1/25/2018,OPC-Bag,230.43,800,80,80,184344
1/25/2018,OPC-Bag,230.43,400,40,95,92172
1/26/2018,PPC-Bag,173.04,400,40,25,69216
1/26/2018,OPC-Bag,233.04,6000,600,23,1398240
1/26/2018,PPC-Bag,173.04,800,80,23,138432
1/29/2018,OPC-Bag,230.43,400,40,25,92172
1/29/2018,PPC-Bag,173.04,400,40,25,69216
1/30/2018,PPC-Bag,173.04,10000,1000,25,1730400
1/31/2018,PPC-Bag,173.04,400,40,22,69216
1/31/2018,OPC-Bag,230.43,200,20,25,46086
2/1/2018,PPC-Bag,173.04,400,40,23,69216
2/1/2018,PPC-Bag,173.04,400,40,22,69216
2/1/2018,PPC-Bag,173.04,1200,120,63,207648
2/1/2018,PPC-Bag,173.04,2400,240,65,415296
2/2/2018,OPC-Bag,233.04,1600,160,25,372864
2/2/2018,PPC-Bag,173.04,2800,280,25,484512
2/2/2018,PPC-Bag,173.04,400,40,65,69216
2/2/2018,OPC-Bag,233.04,1200,120,45,279648
2/2/2018,PPC-Bag,173.04,1200,120,45,207648
2/2/2018,OPC-Bag,233.04,2800,280,80,652512
2/2/2018,PPC-Bag,173.04,1200,120,80,207648
2/3/2018,OPC-Bag,230.43,1200,120,45,276516
2/3/2018,PPC-Bag,173.04,400,40,23,69216
2/3/2018,PPC-Bag,173.04,400,40,30,69216
2/3/2018,PPC-Bag,173.04,400,40,23,69216
2/3/2018,OPC-Bag,230.43,400,40,27,92172
2/5/2018,PPC-Bag,173.04,400,40,25,69216
2/5/2018,PPC-Bag,173.04,400,40,23,69216
2/6/2018,OPC-Bag,237.39,800,80,70,189912
2/6/2018,OPC-Bag,230.43,1200,120,90,276516
2/6/2018,PPC-Bag,173.04,1200,120,90,207648
2/6/2018,PPC-Bag,173.04,400,40,25,69216
2/6/2018,PPC-Bag,173.04,400,40,23,69216
2/8/2018,OPC-Bag,247.83,800,80,28,198264
2/8/2018,PPC-Bag,173.04,400,40,28,69216
2/8/2018,OPC-Bag,247.83,400,40,28,99132
2/8/2018,PPC-Bag,173.04,400,40,30,69216
2/8/2018,PPC-Bag,173.04,10000,1000,25,1730400
2/8/2018,OPC-Bulk,221.74,1200,120,25,266088
2/14/2018,OPC-Bulk,221.74,800,80,28,177392
2/14/2018,OPC-Bag,230.43,1600,160,22,368688
2/15/2018,PPC-Bag,173.04,10000,1000,25,1730400
2/21/2018,PPC-Bag,173.04,400,40,30,69216
2/21/2018,PPC-Bag,173.04,400,40,25,69216
2/22/2018,OPC-Bag,230.43,400,40,23,92172
2/24/2018,PPC-Bag,173.04,400,40,25,69216
2/26/2018,PPC-Bag,173.04,400,40,25,69216
2/26/2018,PPC-Bag,173.04,400,40,25,69216
2/27/2018,PPC-Bag,173.04,400,40,27,69216
2/27/2018,OPC-Bag,230.43,400,40,25,92172
2/28/2018,PPC-Bag,173.04,200,20,27,34608
2/28/2018,OPC-Bag,230.43,400,40,75,92172
2/28/2018,OPC-Bag,230.43,800,80,95,184344
2/28/2018,OPC-Bag,230.43,400,40,95,92172
2/28/2018,OPC-Bag,230.43,800,80,80,184344
2/28/2018,OPC-Bag,230.43,400,40,25,92172
3/1/2018,PPC-Bag,173.04,400,40,30,69216
3/1/2018,PPC-Bag,173.04,400,40,23,69216
3/5/2018,PPC-Bag,173.04,400,40,30,69216
3/8/2018,PPC-Bag,173.04,200,20,30,34608
3/8/2018,PPC-Bag,173.04,800,80,35,138432
3/8/2018,OPC-Bulk,221.74,400,40,30,88696
3/9/2018,OPC-Bag,237.39,2000,200,27,474780
3/9/2018,OPC-Bag,230.43,800,80,28,184344
3/9/2018,OPC-Bag,230.43,400,40,30,92172
3/9/2018,PPC-Bag,173.04,400,40,27,69216
3/10/2018,OPC-Bag,230.43,200,20,27,46086
3/10/2018,PPC-Bag,173.04,400,40,27,69216
3/12/2018,OPC-Bulk,221.74,400,40,30,88696
3/12/2018,PPC-Bag,173.04,200,20,35,34608
3/12/2018,PPC-Bag,173.04,200,20,35,34608
3/12/2018,PPC-Bag,173.04,800,80,35,138432
3/13/2018,PPC-Bag,173.04,400,40,28,69216
3/13/2018,OPC-Bulk,221.74,400,40,30,88696
3/13/2018,PPC-Bag,173.04,6000,600,73,1038240
3/13/2018,PPC-Bag,173.04,4000,400,63,692160
3/14/2018,PPC-Bag,173.04,400,40,28,69216
3/14/2018,PPC-Bag,173.04,400,40,28,69216
3/14/2018,OPC-Bag,230.43,400,40,25,92172
3/14/2018,PPC-Bag,173.04,2000,200,25,346080
3/15/2018,PPC-Bag,173.04,800,80,28,138432
3/15/2018,PPC-Bag,173.04,400,40,28,69216
3/16/2018,OPC-Bag,230.43,400,40,40,92172
3/16/2018,PPC-Bag,173.04,400,40,28,69216
3/16/2018,PPC-Bag,173.04,400,40,31,69216
3/16/2018,OPC-Bag,230.43,2000,200,25,460860
3/16/2018,OPC-Bag,230.43,1600,160,30,368688
3/16/2018,PPC-Bag,173.04,400,40,35,69216
3/16/2018,PPC-Bag,173.04,1120,112,55,193804.8
3/17/2018,PPC-Bag,173.04,800,80,25,138432
3/19/2018,PPC-Bag,180.87,400,40,28,72348
3/19/2018,OPC-Bulk,221.74,800,80,30,177392
3/19/2018,PPC-Bag,180.87,400,40,32.5,72348
3/19/2018,PPC-Bag,180.87,200,20,32.5,36174
3/19/2018,OPC-Bulk,221.74,2000,200,25,443480
3/20/2018,OPC-Bag,233.04,200,20,35,46608
3/20/2018,PPC-Bag,180.87,400,40,35,72348
3/20/2018,OPC-Bag,233.04,400,40,30,93216
3/20/2018,PPC-Bag,180.87,400,40,35,72348
3/21/2018,PPC-Bag,180.87,400,40,40,72348
3/21/2018,PPC-Bag,180.87,2000,200,45,361740
3/21/2018,PPC-Bag,180.87,400,40,40,72348
3/21/2018,OPC-Bag,233.04,400,40,35,93216
3/21/2018,PPC-Bag,180.87,400,40,50,72348
3/21/2018,PPC-Bag,180.87,400,40,40,72348
3/22/2018,OPC-Bulk,221.74,800,80,28,177392
3/23/2018,OPC-Bag,233.04,400,40,35,93216
3/23/2018,PPC-Bag,180.87,400,40,35,72348
3/23/2018,PPC-Bag,180.87,400,40,0,72348
3/24/2018,OPC-Bag,233.04,200,20,35,46608
3/26/2018,OPC-Bag,233.04,800,80,28,186432
3/26/2018,OPC-Bag,233.04,2000,200,75,466080
3/26/2018,PPC-Bag,180.87,400,40,75,72348
3/26/2018,OPC-Bag,230.43,400,40,28,92172
3/26/2018,PPC-Bag,173.04,400,40,28,69216
3/26/2018,OPC-Bulk,221.74,1600,160,28,354784
3/26/2018,PPC-Bag,180.87,400,40,40,72348
3/27/2018,PPC-Bag,173.04,400,40,35,69216
3/27/2018,OPC-Bag,233.04,400,40,30,93216
3/27/2018,PPC-Bag,180.87,800,80,30,144696
3/27/2018,PPC-Bag,173.04,400,40,35,69216
3/28/2018,OPC-Bulk,221.74,800,80,30,177392
3/28/2018,PPC-Bag,173.04,200,20,35,34608
3/30/2018,OPC-Bag,233.04,400,40,110,93216
3/30/2018,OPC-Bag,233.04,5000,500,30,1165200
3/31/2018,OPC-Bulk,239.13,1200,120,28,286956
4/2/2018,OPC-Bulk,239.13,1200,120,28,286956
4/2/2018,PPC-Bag,191.3,400,40,35,76520
4/2/2018,PPC-Bag,191.3,200,20,35,38260
4/2/2018,OPC-Bulk,239.13,2000,200,30,478260
4/4/2018,OPC-Bag,249.56,400,40,30,99824
4/5/2018,OPC-Bulk,239.13,800,80,28,191304
4/5/2018,PPC-Bag,191.3,400,40,35,76520
4/10/2018,OPC-Bulk,239.13,800,80,30,191304
4/10/2018,PPC-Bag,191.3,400,40,75,76520
4/10/2018,OPC-Bag,249.56,400,40,80,99824
4/10/2018,OPC-Bag,249.56,1200,120,100,299472
4/10/2018,OPC-Bag,249.56,400,40,85,99824
4/10/2018,PPC-Bag,191.3,480,48,70,91824
4/12/2018,OPC-Bulk,239.13,800,80,28,191304
4/12/2018,PPC-Bag,191.3,400,40,30,76520
4/12/2018,PPC-Bag,173.04,800,80,35,138432
4/13/2018,PPC-Bag,191.3,400,40,27,76520
4/13/2018,OPC-Bulk,239.13,800,80,28,191304
4/13/2018,OPC-Bag,249.56,400,40,30,99824
4/16/2018,OPC-Bulk,239.13,800,80,30,191304
4/16/2018,PPC-Bag,191.3,200,20,30,38260
4/17/2018,OPC-Bag,233.04,2600,260,0,605904
4/18/2018,PPC-Bag,191.3,400,40,0,76520
4/18/2018,OPC-Bulk,239.13,1200,120,28,286956
4/18/2018,OPC-Bulk,239.13,800,80,30,191304
4/21/2018,OPC-Bag,249.57,4200,420,0,1048194
4/21/2018,PPC-Bag,191.3,800,80,0,153040
4/21/2018,OPC-Bag,233.04,1000,100,0,233040
4/23/2018,OPC-Bag,249.56,800,80,27,199648
4/23/2018,PPC-Bag,191.3,400,40,27,76520
4/24/2018,PPC-Bag,191.3,200,20,30,38260
4/24/2018,PPC-Bag,191.3,200,20,35,38260
4/24/2018,PPC-Bag,191.3,200,20,35,38260
4/25/2018,PPC-Bag,191.3,400,40,33,76520
4/25/2018,OPC-Bag,249.56,400,40,40,99824
4/25/2018,PPC-Bag,191.3,400,40,29,76520
4/25/2018,OPC-Bag,249.57,4800,480,0,1197936
4/25/2018,OPC-Bag,249.56,400,40,90,99824
4/26/2018,PPC-Bag,191.3,400,40,32,76520
4/26/2018,OPC-Bulk,239.13,800,80,30,191304
4/26/2018,OPC-Bag,249.56,400,40,35,99824
4/26/2018,PPC-Bag,191.3,400,40,50,76520
4/27/2018,OPC-Bag,249.56,200,20,27,49912
4/27/2018,PPC-Bag,191.3,200,20,27,38260
4/27/2018,PPC-Bag,191.3,200,20,30,38260
4/27/2018,PPC-Bag,191.3,200,20,30,38260
4/30/2018,OPC-Bag,249.56,1200,120,45,299472
4/30/2018,OPC-Bulk,239.13,800,80,30,191304
4/30/2018,OPC-Bag,249.56,1600,160,130,399296
5/2/2018,OPC-Bulk,239.13,1200,120,28,286956
5/3/2018,PPC-Bag,191.3,400,40,27,76520
5/3/2018,OPC-Bulk,239.13,400,40,30,95652
5/7/2018,OPC-Bulk,239.13,800,80,30,191304
5/7/2018,PPC-Bag,191.3,200,20,28,38260
5/7/2018,PPC-Bag,191.3,400,40,38,76520
5/7/2018,PPC-Bag,191.3,400,40,27,76520
5/7/2018,PPC-Bag,191.3,200,20,30,38260
5/8/2018,PPC-Bag,191.3,400,40,30,76520
5/8/2018,OPC-Bag,249.56,1200,120,90,299472
5/9/2018,PPC-Bag,191.3,400,40,45,76520
5/10/2018,OPC-Bulk,239.13,1200,120,28,286956
5/10/2018,PPC-Bag,191.3,400,40,28,76520
5/11/2018,OPC-Bag,249.56,400,40,30,99824
5/12/2018,PPC-Bag,191.3,400,40,27,76520
5/14/2018,OPC-Bag,249.56,400,40,35,99824
5/14/2018,PPC-Bag,191.3,10000,1000,29,1913000
5/15/2018,OPC-Bulk,239.13,8000,800,30,1913040
5/16/2018,PPC-Bag,191.3,200,20,30,38260
5/16/2018,PPC-Bag,191.3,400,40,30,76520
5/18/2018,PPC-Bag,191.3,600,60,30,114780
5/19/2018,PPC-Bag,191.3,400,40,24,76520
5/21/2018,PPC-Bag,191.3,200,20,35,38260
5/21/2018,OPC-Bag,249.56,400,40,27,99824
5/22/2018,OPC-Bag,249.57,4000,400,0,998280
5/24/2018,OPC-Bag,249.56,400,40,25,99824
5/26/2018,PPC-Bag,191.3,400,40,25,76520
5/29/2018,PPC-Bag,191.3,400,40,25,76520
5/29/2018,OPC-Bag,249.56,200,20,30,49912
5/29/2018,PPC-Bag,191.3,400,40,27,76520
5/29/2018,OPC-Bag,260.87,2000,200,130,521740
5/29/2018,OPC-Bag,260.87,400,40,90,104348
5/29/2018,PPC-Bag,191.3,400,40,27,76520
5/30/2018,PPC-Bag,191.3,800,80,25,153040
5/31/2018,OPC-Bag,249.56,400,40,27,99824
6/1/2018,PPC-Bag,191.3,200,20,30,38260
6/2/2018,PPC-Bag,191.3,2000,200,25,382600
6/4/2018,OPC-Bag,260.87,1200,120,90,313044
6/4/2018,OPC-Bag,249.56,400,40,85,99824
6/4/2018,OPC-Bag,249.56,400,40,95,99824
6/5/2018,OPC-Bag,247.82,400,40,25,99128
6/5/2018,OPC-Bulk,239.13,800,80,28,191304
6/5/2018,PPC-Bag,191.3,10000,1000,29,1913000
6/6/2018,OPC-Bag,249.57,2000,200,75,499140
6/6/2018,OPC-Bulk,239.13,800,80,28.5,191304
6/6/2018,OPC-Bag,249.57,400,40,30,99828
6/7/2018,PPC-Bag,191.3,200,20,30,38260
6/8/2018,PPC-Bag,191.3,400,40,32,76520
6/8/2018,OPC-Bag,247.82,200,20,30,49564
6/8/2018,PPC-Bag,191.3,400,40,25,76520
6/11/2018,OPC-Bag,247.82,400,40,25,99128
6/11/2018,OPC-Bag,249.56,800,80,25,199648
6/11/2018,OPC-Bulk,239.13,1600,160,28.5,382608
6/12/2018,PPC-Bag,191.3,200,20,28,38260
6/12/2018,PPC-Bag,191.3,400,40,20,76520
6/13/2018,OPC-Bag,247.82,800,80,40,198256
6/13/2018,OPC-Bulk,239.13,4000,400,28.5,956520
6/13/2018,PPC-Bag,191.3,400,40,120,76520
6/14/2018,OPC-Bulk,237.39,1200,120,28,284868
6/14/2018,OPC-Bag,260.87,2400,240,90,626088
6/14/2018,OPC-Bag,247.83,1600,160,95,396528
6/14/2018,OPC-Bag,247.83,400,40,75,99132
6/18/2018,OPC-Bag,247.82,200,20,30,49564
6/18/2018,OPC-Bulk,239.13,800,80,28,191304
6/18/2018,PPC-Bag,191.3,400,40,24,76520
6/18/2018,OPC-Bulk,237.39,1200,120,28,284868
6/18/2018,PPC-Bag,191.3,400,40,23,76520
6/18/2018,PPC-Bag,191.3,1200,120,30,229560
6/18/2018,OPC-Bag,247.82,400,40,28,99128
6/18/2018,PPC-Bag,191.3,200,20,30,38260
6/19/2018,OPC-Bag,247,400,40,25,98800
6/20/2018,PPC-Bag,191.3,400,40,25,76520
6/21/2018,PPC-Bag,191.3,400,40,30,76520
6/21/2018,PPC-Bag,191.3,400,40,23,76520
6/25/2018,OPC-Bulk,239.13,6000,600,28,1434780
6/26/2018,PPC-Bag,191.3,400,40,28,76520
6/26/2018,OPC-Bulk,237.39,1200,120,28,284868
6/26/2018,PPC-Bag,191.3,400,40,28,76520
6/27/2018,PPC-Bag,191.3,200,20,30,38260
6/27/2018,PPC-Bag,191.3,200,20,30,38260
6/27/2018,PPC-Bag,191.3,400,40,25,76520
6/28/2018,PPC-Bag,191.3,400,40,25,76520
6/29/2018,OPC-Bulk,237.39,1200,120,28,284868
7/2/2018,OPC-Bag,247.82,200,20,25,49564
7/2/2018,PPC-Bag,191.3,400,40,25,76520
7/3/2018,OPC-Bag,247.82,400,40,25,99128
7/3/2018,OPC-Bag,247.82,200,20,25,49564
7/4/2018,PPC-Bag,191.3,800,80,40,153040
7/5/2018,OPC-Bulk,237.39,400,40,28,94956
7/5/2018,OPC-Bag,247.82,400,40,30,99128
7/6/2018,OPC-Bulk,239.13,20000,2000,28,4782600
7/6/2018,OPC-Bulk,239.13,10000,1000,28,2391300
7/6/2018,OPC-Bag,247.82,1200,120,45,297384
7/7/2018,OPC-Bag,249.57,4000,400,0,998280
7/7/2018,OPC-Bag,247.82,400,40,75,99128
7/7/2018,OPC-Bag,249.56,800,80,110,199648
7/7/2018,OPC-Bulk,239.13,400,40,28,95652
7/9/2018,PPC-Bag,191.3,400,40,25,76520
7/9/2018,PPC-Bag,191.3,400,40,150,76520
7/9/2018,OPC-Bag,247.83,400,40,25,99132
7/10/2018,PPC-Bag,191.3,400,40,45,76520
7/10/2018,PPC-Bag,191.3,1200,120,25,229560
7/10/2018,PPC-Bag,191.3,400,40,30,76520
7/11/2018,PPC-Bag,191.3,400,40,23,76520
7/12/2018,PPC-Bag,191.3,400,40,25,76520
7/13/2018,OPC-Bulk,237.39,1200,120,28,284868
7/16/2018,OPC-Bulk,239.13,4000,400,28.5,956520
7/17/2018,OPC-Bulk,237.39,800,80,28,189912
7/17/2018,OPC-Bag,247.83,400,40,25,99132
7/17/2018,PPC-Bag,191.3,800,80,25,153040
7/18/2018,PPC-Bag,191.3,400,40,25,76520
7/19/2018,PPC-Bag,191.30434,2000,200,30,382608.68
7/19/2018,PPC-Bag,191.3,400,40,30,76520
7/19/2018,OPC-Bag,247.83,400,40,30,99132
7/20/2018,OPC-Bag,247.83,1200,120,75,297396
7/20/2018,PPC-Bag,191.3,400,40,80,76520
7/21/2018,OPC-Bag,249.57,4000,400,25,998280
7/21/2018,OPC-Bulk,237.39,800,80,28,189912
7/21/2018,PPC-Bag,184.35,10000,1000,29,1843500
7/21/2018,OPC-Bulk,239.13,800,80,28,191304
7/23/2018,OPC-Bag,249.57,2400,240,27,598968
7/24/2018,OPC-Bag,253.91304,2000,200,25,507826.08
7/24/2018,OPC-Bag,247.83,200,20,30,49566
7/24/2018,PPC-Bag,191.3,200,20,29,38260
7/25/2018,PPC-Bag,191.3,400,40,25,76520
7/27/2018,OPC-Bag,247.83,4000,400,27,991320
7/28/2018,OPC-Bag,258.26,5200,520,60,1342952
7/28/2018,PPC-Bag,200,5200,520,60,1040000
7/28/2018,PPC-Bag,191.3,200,20,30,38260
7/28/2018,PPC-Bag,191.3,400,40,25,76520
7/28/2018,PPC-Bag,191.3,400,40,30,76520
7/30/2018,PPC-Bag,191.3,800,80,90,153040
7/30/2018,OPC-Bag,249.57,800,80,90,199656
7/31/2018,OPC-Bag,253.91,800,80,25,203128
7/31/2018,OPC-Bag,269.57,1200,120,70,323484
7/31/2018,PPC-Bag,195.52,1200,120,70,234624
7/31/2018,OPC-Bag,253.91,2000,200,85,507820
7/31/2018,PPC-Bag,195.52,1200,120,85,234624
7/31/2018,OPC-Bulk,239.13,800,80,28,191304
8/1/2018,PPC-Bag,191.3,200,20,30,38260
8/1/2018,OPC-Bag,247.83,400,40,25,99132
8/1/2018,PPC-Bag,191.3,200,20,30,38260
8/1/2018,OPC-Bag,249.56,1200,120,90,299472
8/1/2018,OPC-Bag,247.83,400,40,25,99132
8/2/2018,OPC-Bag,247.82,200,20,35,49564
8/3/2018,PPC-Bag,191.3,400,40,25,76520
8/6/2018,OPC-Bulk,239.13,4000,400,28.5,956520
8/8/2018,OPC-Bag,253.91,400,40,85,101564
8/8/2018,OPC-Bag,249.57,1200,120,130,299484
8/8/2018,PPC-Bag,191.3,200,20,26,38260
8/9/2018,OPC-Bulk,239.13,800,80,28,191304
8/11/2018,OPC-Bag,247.82,400,40,25,99128
8/13/2018,PPC-Bag,191.3,200,20,30,38260
8/13/2018,PPC-Bag,191.3,400,40,30,76520
8/14/2018,OPC-Bag,249.57,400,40,140,99828
8/14/2018,OPC-Bag,,2600,260,83,648882
8/14/2018,PPC-Bag,191.3,400,40,140,76520
8/14/2018,PPC-Bag,191.3,400,40,25,76520
8/15/2018,OPC-Bag,247.83,800,80,30,198264
8/15/2018,PPC-Bag,191.3,400,40,30,76520
8/15/2018,OPC-Bag,247.83,400,40,30,99132
8/16/2018,PPC-Bag,191.3,2800,280,85,535640
8/16/2018,OPC-Bulk,239.13,2000,200,28.5,478260
8/16/2018,OPC-Bulk,237.39,1600,160,28,379824
8/17/2018,OPC-Bag,247.85,400,40,25,99140
8/17/2018,PPC-Bag,191.3,400,40,25,76520
8/18/2018,OPC-Bag,249.57,200,20,30,49914
8/20/2018,OPC-Bulk,237.39,1200,120,28,284868
8/20/2018,OPC-Bulk,239.13,400,40,30,95652
8/22/2018,OPC-Bag,249.56,3600,360,25,898416
8/23/2018,OPC-Bulk,237.39,1200,120,28,284868
8/23/2018,OPC-Bag,247.82,400,40,30,99128
8/24/2018,PPC-Bag,191.3,200,20,30,38260
8/24/2018,OPC-Bulk,239.13,2000,200,28.5,478260
8/24/2018,OPC-Bulk,239.13,800,80,28,191304
8/24/2018,OPC-Bag,247.83,200,20,30,49566
8/25/2018,OPC-Bag,247.82,400,40,25,99128
8/25/2018,PPC-Bag,191.3,10000,1000,29,1913000
8/28/2018,OPC-Bulk,239.13,4000,400,28.5,956520
8/28/2018,PPC-Bag,191.3,400,40,30,76520
8/28/2018,PPC-Bag,191.3,200,20,30,38260
8/29/2018,PPC-Bag,191.3,400,40,25,76520
8/29/2018,OPC-Bag,247.82,200,20,25,49564
8/29/2018,OPC-Bag,253.91,2000,200,85,507820
8/29/2018,PPC-Bag,195.65,1200,120,85,234780
9/4/2018,OPC-Bulk,239.13,20000,2000,28,4782600
9/4/2018,OPC-Bulk,239.13,800,80,28,191304
9/5/2018,OPC-Bag,247.83,1200,120,90,297396
9/5/2018,PPC-Bag,191.3,400,40,25,76520
9/6/2018,PPC-Bag,191.3,400,40,25,76520
9/6/2018,PPC-Bag,191.3,200,20,27,38260
9/7/2018,OPC-Bag,247.83,2000,200,75,495660
9/7/2018,PPC-Bag,191.3,400,40,75,76520
9/13/2018,OPC-Bulk,239.13,4000,400,28.5,956520
9/13/2018,PPC-Bag,191.3,400,40,25,76520
9/14/2018,OPC-Bulk,237.39,1200,120,28,284868
9/14/2018,PPC-Bag,191.3,400,40,25,76520
9/19/2018,OPC-Bag,258.26,4400,440,64.5,1136344
9/19/2018,PPC-Bag,200,6000,600,64.5,1200000
9/19/2018,PPC-Bag,191.3,200,20,30,38260
9/19/2018,OPC-Bag,247.82,400,40,25,99128
9/19/2018,OPC-Bag,247.82,400,40,27.5,99128
9/20/2018,OPC-Bag,247.83,200,20,30,49566
9/20/2018,OPC-Bag,247.83,400,40,25,99132
9/21/2018,PPC-Bag,191.3,1200,120,25,229560
9/21/2018,PPC-Bag,195.65,800,80,80,156520
9/21/2018,PPC-Bag,191.3,1200,120,25,229560
9/21/2018,OPC-Bulk,239.13,800,80,28,191304
9/24/2018,OPC-Bag,247.83,200,20,30,49566
9/24/2018,PPC-Bag,191.3,400,40,25,76520
9/24/2018,OPC-Bulk,239.13,4000,400,28.5,956520
9/24/2018,OPC-Bag,247.83,400,40,25,99132
9/25/2018,OPC-Bag,247.83,400,40,90,99132
9/25/2018,PPC-Bag,191.3,400,40,30,76520
9/26/2018,PPC-Bag,191.3,10000,1000,29,1913000
9/28/2018,OPC-Bulk,237.39,1200,120,28,284868
9/28/2018,OPC-Bag,247.83,400,40,25,99132
9/29/2018,PPC-Bag,195.65,400,40,80,78260
9/29/2018,OPC-Bag,249.57,800,80,90,199656
10/2/2018,OPC-Bag,247.83,200,20,30,49566
10/3/2018,OPC-Bag,253.91,400,40,70,101564
10/3/2018,PPC-Bag,195.65,800,80,0,156520
10/3/2018,OPC-Bag,247.83,400,40,27.5,99132
10/4/2018,OPC-Bag,253.91,400,40,70,101564
10/5/2018,PPC-Bag,191.3,400,40,30,76520
10/8/2018,OPC-Bag,247.83,400,40,25,99132
10/8/2018,OPC-Bulk,239.13,400,40,28,95652
10/9/2018,OPC-Bag,253.91,2000,200,25,507820
10/9/2018,PPC-Bag,191.3,400,40,30,76520
10/9/2018,OPC-Bulk,239.13,800,80,28,191304
10/11/2018,OPC-Bag,247.82,1600,160,75,396512
10/11/2018,PPC-Bag,191.3,400,40,23,76520
10/12/2018,PPC-Bag,191.3,400,40,23,76520
10/12/2018,PPC-Bag,191.3,400,40,23,76520
10/12/2018,PPC-Bag,191.3,400,40,23,76520
10/12/2018,PPC-Bag,189.57,400,40,23,75828
10/13/2018,PPC-Bag,189.57,400,40,25,75828
10/13/2018,OPC-Bulk,237.39,800,80,28,189912
10/13/2018,OPC-Bulk,237.39,1200,120,28,284868
10/13/2018,PPC-Bag,191.3,10000,1000,29,1913000
10/13/2018,PPC-Bag,189.57,400,40,25,75828
10/16/2018,OPC-Bulk,237.39,1200,120,28,284868
10/16/2018,PPC-Bag,191.3,400,40,30,76520
10/17/2018,PPC-Bag,191.3,400,40,23,76520
10/18/2018,PPC-Bag,189.57,400,40,25,75828
10/18/2018,PPC-Bag,191.3,400,40,23,76520
10/18/2018,OPC-Bag,247.83,400,40,27,99132
10/18/2018,OPC-Bag,247.83,400,40,25,99132
10/19/2018,OPC-Bag,253.91,2400,240,30,609384
10/19/2018,PPC-Bag,195.65,800,80,30,156520
10/19/2018,OPC-Bulk,239.13,4000,400,28.5,956520
10/20/2018,OPC-Bag,247.83,400,40,28,99132
10/20/2018,PPC-Bag,191.3,400,40,25,76520
10/22/2018,OPC-Bulk,237.39,1200,120,28,284868
10/22/2018,OPC-Bulk,239.13,1600,160,28,382608
10/23/2018,PPC-Bag,189.57,200,20,30,37914
10/23/2018,OPC-Bag,247.39,1200,120,90,296868
10/25/2018,OPC-Bulk,237.39,800,80,28,189912
10/25/2018,PPC-Bag,189.57,400,40,23,75828
10/25/2018,OPC-Bag,247.83,400,40,25,99132
10/26/2018,OPC-Bulk,237.39,1200,120,28,284868
10/29/2018,PPC-Bag,195.65,400,40,95,78260
10/29/2018,PPC-Bag,191.3,400,40,63,76520
10/29/2018,OPC-Bag,247.83,400,40,25,99132
10/30/2018,OPC-Bag,247.83,200,20,30,49566
10/30/2018,PPC-Bag,191.3,400,40,22,76520
10/30/2018,OPC-Bulk,239.13,1600,160,28,382608
10/31/2018,PPC-Bag,191.3,800,80,30,153040
10/31/2018,OPC-Bulk,239.13,4000,400,28.5,956520
11/1/2018,PPC-Bag,191.3,1200,120,25,229560
11/1/2018,PPC-Bag,189.57,800,80,23,151656
11/1/2018,PPC-Bag,220,400,40,75,88000
11/1/2018,OPC-Bulk,237.39,800,80,28,189912
11/1/2018,OPC-Bag,253.91,2400,240,85,609384
11/1/2018,PPC-Bag,195.65,2000,200,85,391300
11/1/2018,OPC-Bag,247.83,400,40,21,99132
11/1/2018,OPC-Bag,247.39,2400,240,90,593736
11/1/2018,PPC-Bag,191.3,800,80,90,153040
11/1/2018,PPC-Bag,191.3,1200,120,25,229560
11/1/2018,PPC-Bag,191.3,400,40,65,76520
11/2/2018,PPC-Bag,200,1200,120,25,240000
11/2/2018,PPC-Bag,200,400,40,70,80000
11/2/2018,OPC-Bag,258.27,2000,200,105,516540
11/2/2018,OPC-Bag,258.27,200,20,30,51654
11/2/2018,OPC-Bag,258.27,3200,320,90,826464
11/2/2018,PPC-Bag,200,800,80,90,160000
11/2/2018,OPC-Bag,258.27,200,20,30,51654
11/2/2018,PPC-Bag,200,400,40,145,80000
